,codigo_vaga,codigo_candidato,match_profissional,match_academico,match_ingles,match_area,sim_cv_principais_atividades,sim_conhecimentos_competencias,match_score,compatibility
0,4530,25632,0,0,1,0,0.41035890579223633,0.0,0.18207178115844727,18.21%
1,4530,25529,0,1,1,0,0.49370500445365906,0.0,0.2987410008907318,29.87%
2,4531,25364,0,1,1,0,0.5277581214904785,0.6955222487449646,0.4446560740470886,44.47%
3,4531,25360,0,0,1,0,0.5267165899276733,0.0,0.20534331798553468,20.53%
4,4533,26338,0,0,0,0,0.0,0.0,0.0,0.00%
5,4533,24645,0,0,0,0,0.4150526225566864,0.0,0.08301052451133728,8.30%
6,4534,26361,0,0,0,0,0.0,0.0,0.0,0.00%
7,4534,26205,0,0,0,0,0.0,0.0,0.0,0.00%
8,4534,26003,0,0,0,0,0.39009273052215576,0.0,0.07801854610443115,7.80%
9,4534,25509,0,0,0,0,0.22758205235004425,0.0,0.04551641047000885,4.55%
10,4534,23913,0,1,1,0,0.2310968041419983,0.0,0.24621936082839965,24.62%
11,4534,21458,0,0,0,0,0.32862138748168945,0.0,0.06572427749633789,6.57%
12,4534,13951,0,0,0,0,0.3799336552619934,0.0,0.07598673105239868,7.60%
13,4534,12819,0,0,0,0,0.1422584056854248,0.0,0.02845168113708496,2.85%
14,4534,11132,0,0,0,0,0.0,0.0,0.0,0.00%
15,4534,8838,0,0,0,0,0.0,0.0,0.0,0.00%
16,4535,26338,0,0,0,0,0.0,0.0,0.0,0.00%
17,4535,25983,0,1,0,0,0.2827279567718506,0.0,0.15654559135437013,15.65%
18,4535,25519,0,0,0,0,0.30896952748298645,0.0,0.06179390549659729,6.18%
19,4535,25454,0,0,0,0,0.4719405174255371,0.0,0.09438810348510743,9.44%
20,4535,25445,0,0,0,0,0.4811387360095978,0.0,0.09622774720191955,9.62%
21,4535,23387,0,0,0,0,0.41668540239334106,0.0,0.08333708047866821,8.33%
22,4536,25362,0,0,0,0,0.20312264561653137,0.0,0.040624529123306274,4.06%
23,4536,25335,0,1,1,0,0.4296535849571228,0.0,0.2859307169914246,28.59%
24,4536,25304,0,1,1,0,0.24499733746051788,0.4007183909416199,0.3291431456804276,32.91%
25,4536,7714,0,0,0,0,0.0,0.0,0.0,0.00%
26,4537,25283,0,1,1,1,0.331635057926178,0.5462427139282227,0.5755755543708801,57.56%
27,4537,14591,1,1,1,1,0.5290363430976868,0.6723674535751343,0.8402807593345643,84.03%
28,4542,23624,0,0,0,0,0.3915897011756897,0.0,0.07831794023513794,7.83%
29,4543,26560,0,1,1,0,0.0,0.0,0.2,20.00%
30,4543,25322,0,0,0,0,0.5140962600708008,0.0,0.10281925201416016,10.28%
31,4544,24309,0,0,0,0,0.3556763529777527,0.0,0.07113527059555054,7.11%
32,4544,22085,0,1,1,0,0.5183758735656738,0.0,0.30367517471313477,30.37%
33,4544,19972,0,0,0,0,0.4223704934120178,0.0,0.08447409868240356,8.45%
34,4544,18121,0,1,1,1,0.0,0.0,0.4,40.00%
35,4545,25310,0,0,1,0,0.2761717438697815,0.0,0.1552343487739563,15.52%
36,4545,25268,1,1,1,0,0.35435256361961365,0.0,0.4708705127239227,47.09%
37,4545,25267,0,0,1,0,0.4483698904514313,0.0,0.18967397809028624,18.97%
38,4545,25262,0,0,1,0,0.41798096895217896,0.0,0.1835961937904358,18.36%
39,4545,25260,0,0,1,0,0.4047146141529083,0.0,0.18094292283058167,18.09%
40,4545,25255,0,0,1,0,0.09495513141155243,0.0,0.11899102628231048,11.90%
41,4545,25194,0,0,1,0,0.5577537417411804,0.0,0.2115507483482361,21.16%
